FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8
-45.51892551892552,-13.47985347985348,11.135531135531135,13.870573870573871,10.354090354090355,-28.327228327228326,-1.7582417582417582,-14.261294261294262,140.46398046398048,-120.92796092796092,-51.37973137973138,-11.526251526251526,-58.02197802197802,-101.39194139194139,50.20757020757021,65.83638583638583,-61.14774114774115,-30.671550671550673,-10.744810744810744,-7.619047619047619,-84.2002442002442,-0.19536019536019536,50.20757020757021
-52.55189255189255,-20.12210012210012,6.446886446886447,10.354090354090355,3.711843711843712,-36.92307692307692,-2.5396825396825395,-19.731379731379732,144.37118437118437,-126.007326007326,-59.584859584859586,-18.55921855921856,-46.69108669108669,-100.61050061050061,23.247863247863247,63.88278388278388,-71.30647130647131,-34.57875457875458,-6.056166056166056,-3.711843711843712,-66.22710622710623,0.5860805860805861,23.247863247863247
-56.45909645909646,-19.34065934065934,4.493284493284493,3.711843711843712,-0.19536019536019536,-39.65811965811966,-8.791208791208792,-18.168498168498168,144.76190476190476,-129.52380952380952,-65.05494505494505,-31.062271062271062,-51.37973137973138,-85.76312576312576,4.102564102564102,51.37973137973138,-81.07448107448107,-42.002442002442,-4.102564102564102,-12.698412698412698,-48.25396825396825,6.056166056166056,4.102564102564102
-51.77045177045177,-24.81074481074481,1.3675213675213675,-0.9768009768009768,-6.056166056166056,-36.92307692307692,-14.652014652014651,-18.168498168498168,144.76190476190476,-133.82173382173383,-67.00854700854701,-35.75091575091575,-50.598290598290596,-78.33943833943835,-13.870573870573871,51.77045177045177,-88.4981684981685,-42.78388278388278,-0.9768009768009768,-15.042735042735043,-37.313797313797316,7.228327228327228,-13.870573870573871
-67.78998778998779,-11.526251526251526,0.5860805860805861,-2.5396825396825395,-3.711843711843712,-42.39316239316239,-13.089133089133089,-21.684981684981686,143.98046398046398,-134.21245421245422,-68.18070818070818,-38.095238095238095,-36.92307692307692,-75.21367521367522,-38.876678876678874,54.505494505494504,-93.57753357753357,-42.78388278388278,-0.19536019536019536,-10.354090354090355,-21.684981684981686,8.4004884004884,-38.876678876678874
-70.13431013431014,-9.572649572649572,-0.19536019536019536,-3.711843711843712,-5.274725274725275,-46.3003663003663,-14.652014652014651,-17.77777777777778,138.5103785103785,-133.82173382173383,-74.04151404151405,-40.04884004884005,-31.45299145299145,-69.74358974358974,-60.757020757020754,53.333333333333336,-96.7032967032967,-49.03540903540904,0.5860805860805861,-11.135531135531135,-4.102564102564102,7.228327228327228,-60.757020757020754
-67.78998778998779,-7.228327228327228,-3.711843711843712,-7.228327228327228,-6.446886446886447,-43.56532356532357,-22.857142857142858,-13.870573870573871,133.43101343101344,-137.72893772893772,-80.68376068376068,-39.26739926739927,-24.02930402930403,-68.96214896214896,-81.85592185592185,50.598290598290596,-101.001221001221,-57.24053724053724,4.102564102564102,-10.744810744810744,12.307692307692308,2.148962148962149,-81.85592185592185
-67.3992673992674,-6.446886446886447,-10.354090354090355,-9.572649572649572,-7.228327228327228,-41.221001221001224,-29.499389499389498,-15.824175824175825,126.007326007326,-143.1990231990232,-86.54456654456655,-44.346764346764346,-12.698412698412698,-75.21367521367522,-105.2991452991453,46.69108669108669,-104.51770451770452,-64.66422466422466,10.744810744810744,-4.102564102564102,24.02930402930403,-1.7582417582417582,-105.2991452991453
-68.18070818070818,-9.963369963369964,-14.261294261294262,-8.791208791208792,-11.916971916971917,-42.002442002442,-33.7973137973138,-14.261294261294262,117.02075702075702,-147.49694749694748,-88.1074481074481,-57.24053724053724,-14.652014652014651,-77.94871794871794,-118.58363858363859,36.53235653235653,-106.47130647130648,-74.82295482295483,14.652014652014651,-1.3675213675213675,41.61172161172161,-13.47985347985348,-118.58363858363859
-70.52503052503053,-15.042735042735043,-15.042735042735043,-6.446886446886447,-15.433455433455434,-45.12820512820513,-36.14163614163614,-11.135531135531135,109.2063492063492,-147.49694749694748,-89.67032967032966,-61.92918192918193,-12.698412698412698,-78.33943833943835,-128.74236874236874,30.28083028083028,-107.64346764346764,-79.12087912087912,15.433455433455434,-2.93040293040293,63.492063492063494,-18.168498168498168,-128.74236874236874
